"Data include samples collected between October 1, 2013 - September 30, 2017",,,,,,,,,,,
"Data Extracted January 3, 2018",,,,,,,,,,,
EstablishmentId,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormId,CollectionDate,SampleSource,EColiO157H7Analysis,SalmonellaSpAnalysis,NonO157STECAnalysis
4163,M1429+P1429+P7176,Plains Meat Co. LTD                                                                                 ,TX,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100607936,10/7/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
13325,M39961+P39961+V39961,"Glenn's Market & Catering, Inc.                                                                     ",WI,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100607189,10/7/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100604256,10/7/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
3536,M278+V278,"Tyson Fresh Meats, Inc.                                                                             ",KS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608829,10/7/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100607796,10/7/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608846,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100610239,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
1865,M20321+V20321,Luce's Maine Grown Meats                                                                            ,ME,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100607151,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
765,M19511+P19511,Thomas Brothers Abattoir                                                                            ,NC,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100609130,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3536,M278+V278,"Tyson Fresh Meats, Inc.                                                                             ",KS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608506,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608966,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594734,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4345,M13445+P13445+V13445,Huse's Processing Inc.                                                                              ,TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100609517,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100606289,10/8/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
7879,M21442+P21442,Kased Brothers' Halal Meats                                                                         ,MS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100610755,10/9/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608967,10/9/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100610601,10/9/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
6437,M2069+P712,CTI                                                                                                 ,PA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100610541,10/9/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100608011,10/9/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100611582,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100612986,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8988,M22042+P22042,"Illini Institutional Foods, Inc.                                                                    ",IL,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100611740,10/10/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100608968,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
1383,M17965,Gold Medal Packing Inc.                                                                             ,NY,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100611929,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594736,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3612,M2966+P2966+V2966,National Beef Packing Food Service                                                                  ,KS,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100610450,10/10/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100610047,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
13000,M34741,"American Beef Packers, Inc.                                                                         ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100612750,10/10/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4163,M1429+P1429+P7176,Plains Meat Co. LTD                                                                                 ,TX,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100612008,10/10/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
123331,M44785+P44785+V44785,"Alleghany Highlands Agricultural Center, LLC                                                        ",VA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100610519,10/11/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594737,10/11/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100612355,10/11/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100610569,10/11/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100613023,10/14/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100614482,10/14/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100611583,10/15/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100616558,10/15/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3536,M278+V278,"Tyson Fresh Meats, Inc.                                                                             ",KS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100615420,10/15/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594738,10/15/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100616128,10/16/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100618018,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
1383,M17965,Gold Medal Packing Inc.                                                                             ,NY,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100616998,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
123331,M44785+P44785+V44785,"Alleghany Highlands Agricultural Center, LLC                                                        ",VA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100617138,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100610051,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,Positive
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100617506,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100613024,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
765,M19511+P19511,Thomas Brothers Abattoir                                                                            ,NC,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100617454,10/16/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
8988,M22042+P22042,"Illini Institutional Foods, Inc.                                                                    ",IL,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100613165,10/17/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100611584,10/17/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100619119,10/17/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100619120,10/17/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100618791,10/17/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100619008,10/17/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594739,10/17/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594740,10/18/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100619920,10/18/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
123331,M44785+P44785+V44785,"Alleghany Highlands Agricultural Center, LLC                                                        ",VA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100619447,10/18/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100613026,10/18/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100618517,10/21/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
9128,M27450+V27450,Delft Blue LLC                                                                                      ,NY,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100621672,10/21/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100621300,10/21/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100621302,10/21/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8939,M27300,"LRN Processors, Inc.                                                                                ",CA,MT53,Ecoli O157:H7 Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100621691,10/21/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
1383,M17965,Gold Medal Packing Inc.                                                                             ,NY,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100620749,10/21/2013,Product-Raw-Intact-Beef,Positive,NULL,NULL
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100619011,10/22/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100622604,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100622603,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100618174,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4345,M13445+P13445+V13445,Huse's Processing Inc.                                                                              ,TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100624453,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100611585,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100620846,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
8869,M27260,"Jancorp, LLC                                                                                        ",IL,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100622193,10/22/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
765,M19511+P19511,Thomas Brothers Abattoir                                                                            ,NC,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100622080,10/22/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100618520,10/23/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100622649,10/23/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100622652,10/23/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
7879,M21442+P21442,Kased Brothers' Halal Meats                                                                         ,MS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100623216,10/23/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594743,10/23/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594731,10/24/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100622469,10/24/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
6437,M2069+P712,CTI                                                                                                 ,PA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100624584,10/24/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100622653,10/24/2013,Product-Raw-Intact-Beef,Negative,NULL,Positive
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100618175,10/24/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
13000,M34741,"American Beef Packers, Inc.                                                                         ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100616254,10/24/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100611586,10/24/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
3551,M262,"National Beef Packing Co., L.L.C.                                                                   ",KS,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100618525,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
9128,M27450+V27450,Delft Blue LLC                                                                                      ,NY,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100626173,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5475,M18532+P18532,Costco Wholesale Meat Plant                                                                         ,CA,MT44T,"Follow-up E.coli O157:H7 Sampling of Raw Ground Beef, Trimmings or Components (Traceback)",100624908,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,NULL
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100622656,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
124135,M45090+V45090,"Mattatoio Di Modesto, Inc. (MDM)                                                                    ",CA,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100622655,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5289,M6063A,"Central Valley Meat Co., Inc.                                                                       ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100624605,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
1383,M17965,Gold Medal Packing Inc.                                                                             ,NY,MT52,Ecoli Follow-up Sampling of Suppliers of Raw Ground Beef Trim or Components,100625645,10/25/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
